SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,Node-1-Attributes,Node-2-Attributes,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
12411,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Abbe_de_L_Epee_DD,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0,Abbe_de_L_Epee_DD,339418,0.38416554
3624,2.5624037,1.98E-04,0.39025857,0,19,5,FALSE, Aeschylus,108,historical_people,historical_people,19,0,0,0.68751926,FALSE,0,Aeschylus,75576,0.37412587
20976,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Ahab,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0,Ahab,87698,0.18421414
14764,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Alfieri_Vittorio,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0,Alfieri_Vittorio,339418,0.38416554
5869,2.75346687,1.31E-04,0.36317851,0,14,5,FALSE, Alice,71.21428571,fictional_and_archetypal,fictional_and_archetypal,14,0,0,0.64930663,FALSE,0,Alice,39256,0.3066126
5249,2.12172573,0.00237388,0.47131445,0,130,4,FALSE, Annabel_J,120.2016129,fictional_and_archetypal,fictional_and_archetypal,130,0,6,0.77565485,FALSE,0, Annabel_J,678718,0.36904524
14411,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Antigone_A,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0, Antigone_A,339418,0.38416554
21386,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, Ariel,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, Ariel,148692,0.2103972
2749,2.54699538,2.23E-04,0.39261948,0,17,4,FALSE, Ashburton_Lord,78.64705882,historical_people,historical_people,17,0,0,0.69060092,FALSE,0, Ashburton_Lord,55378,0.26591459
1724,2.76579353,1.52E-04,0.36155989,0,18,5,FALSE, Aspatia,64.5,fictional_and_archetypal,fictional_and_archetypal,18,0,0,0.64684129,FALSE,0, Aspatia,61596,0.28733032
834,2.22342065,0.02370559,0.44975745,0,97,3,FALSE, Austen_Jane,49.02222222,historical_people,historical_people,97,0,6,0.75531587,FALSE,0, Austen_Jane,4185364,0.14821674
18642,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Baillie_Joanna,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Baillie_Joanna,339418,0.38416554
2412,2.38058552,0.00203641,0.42006472,0,55,4,FALSE, Baldwin_R,70.525,historical_people,historical_people,55,0,9,0.7238829,FALSE,0, Baldwin_R,394144,0.21524768
1852,2.76579353,1.52E-04,0.36155989,0,18,5,FALSE, Balfour_John,64.5,fictional_and_archetypal,fictional_and_archetypal,18,0,0,0.64684129,FALSE,0, Balfour_John,61596,0.28733032
9345,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Bannister_Jack,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Bannister_Jack,339418,0.38416554
5681,2.58089368,1.25E-04,0.38746269,0,13,5,FALSE, Bayley_Mrs,113,historical_people,historical_people,13,0,0,0.68382126,FALSE,0, Bayley_Mrs,33598,0.39160839
5042,2.58705701,2.68E-04,0.38653961,0,16,5,FALSE, Bayley_P,85.375,historical_people,historical_people,16,0,0,0.6825886,FALSE,0, Bayley_P,54640,0.3002669
1632,2.10015408,0.00418352,0.47615554,0,135,4,FALSE, Beaumont_Fr,114.7938931,historical_people,historical_people,135,0,4,0.77996918,FALSE,0, Beaumont_Fr,1498256,0.35230307
2007,2.59322034,1.95E-04,0.38562092,0,12,5,FALSE, Beaumont_Sir_Geo,72.25,historical_people,historical_people,12,0,0,0.68135593,FALSE,0, Beaumont_Sir_Geo,32312,0.25176678
1743,2.76579353,1.52E-04,0.36155989,0,18,5,FALSE, Bellario,64.5,fictional_and_archetypal,fictional_and_archetypal,18,0,0,0.64684129,FALSE,0, Bellario,61596,0.28733032
4651,2.59013867,1.27E-04,0.38607971,0,15,5,FALSE, Bennet_G,123.4,historical_people,historical_people,15,0,0,0.68197227,FALSE,0, Bennet_G,37682,0.43558719
6280,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Bennoch_Fr,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Bennoch_Fr,339418,0.38416554
18289,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Berengaria,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Berengaria,339418,0.38416554
5476,2.62095532,8.43E-05,0.38154027,0,11,5,FALSE, Berghem,125.2727273,historical_people,historical_people,11,0,0,0.67580894,FALSE,0, Berghem,23180,0.45190083
21631,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, Blacksmith,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, Blacksmith,148692,0.2103972
21672,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, BlacksmithsWife,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, BlacksmithsWife,148692,0.2103972
20944,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Bradshaw,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Bradshaw,87698,0.18421414
753,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Bramble_Matthew,54.38461538,fictional_and_archetypal,fictional_and_archetypal,26,0,0,0.69553159,FALSE,0, Bramble_Matthew,92252,0.18345229
20243,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Broghill,44.29032258,historical_people,historical_people,31,0,0,0.66348228,FALSE,0, Broghill,87698,0.18421414
14646,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Brumoy_Pierre,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Brumoy_Pierre,339418,0.38416554
21040,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Brutus,44.29032258,historical_people,historical_people,31,0,0,0.66348228,FALSE,0, Brutus,87698,0.18421414
3340,2.52850539,5.99E-04,0.39549055,0,44,5,FALSE, Burgess,94.7,historical_people,historical_people,44,0,10,0.69429892,FALSE,0, Burgess,161408,0.32762238
2058,2.59322034,1.95E-04,0.38562092,0,12,5,FALSE, Burns_Rob,72.25,historical_people,historical_people,12,0,0,0.68135593,FALSE,0, Burns_Rob,32312,0.25176678
21713,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, BustlingDame,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, BustlingDame,148692,0.2103972
21754,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, BustlingDamesChildren,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, BustlingDamesChildren,148692,0.2103972
565,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Butler_Mr,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Butler_Mr,92252,0.18345229
1501,2.33436055,0.00358681,0.42838284,0,83,4,FALSE, Byron,73.83636364,historical_people,historical_people,83,0,19,0.73312789,FALSE,0, Byron,893418,0.22549958
21345,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, Caliban,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, Caliban,148692,0.2103972
3525,2.06009245,0.00563588,0.48541511,0,183,4,FALSE, Camilla,107.6180556,fictional_and_archetypal,fictional_and_archetypal,183,0,20,0.78798151,FALSE,0, Camilla,1712560,0.33008686
5443,2.60862866,6.90E-05,0.38334318,0,9,5,FALSE, Campbell_Thos,135.8888889,historical_people,historical_people,9,0,0,0.67827427,FALSE,0, Campbell_Thos,25588,0.48003163
11939,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Canning_George,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Canning_George,339418,0.38416554
5943,2.75346687,1.31E-04,0.36317851,0,14,5,FALSE, Cantwell,71.21428571,fictional_and_archetypal,fictional_and_archetypal,14,0,0,0.64930663,FALSE,0, Cantwell,39256,0.3066126
3663,2.54083205,4.72E-04,0.39357186,0,30,5,FALSE, Cassandra,100.6538462,fictional_and_archetypal,fictional_and_archetypal,30,0,4,0.69183359,FALSE,0, Cassandra,141854,0.34844002
5884,2.65177196,0.00127257,0.37710633,0,45,5,FALSE, Chas1_MRM,47.19512195,fictional_and_archetypal,fictional_and_archetypal,45,0,4,0.66964561,FALSE,0, Chas1_MRM,230972,0.19657499
18878,2.05084746,0.02167238,0.48760331,0,148,4,FALSE, ChasI,106.3605442,historical_people,historical_people,148,0,1,0.78983051,FALSE,0, ChasI,3714972,0.32619364
6635,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, ChasII,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, ChasII,339418,0.38416554
2593,2.54699538,2.23E-04,0.39261948,0,17,4,FALSE, Christie_JH,78.64705882,historical_people,historical_people,17,0,0,0.69060092,FALSE,0, Christie_JH,55378,0.26591459
4925,2.55007704,9.61E-04,0.39214502,0,30,5,FALSE, Cobbett_Wm,72.17857143,historical_people,historical_people,30,0,2,0.68998459,FALSE,0, Cobbett_Wm,217124,0.25330452
2396,2.42681048,8.39E-04,0.41206349,0,27,4,FALSE, Colburn,75.8,historical_people,historical_people,27,0,2,0.7146379,FALSE,0, Colburn,152254,0.23157895
4713,2.1248074,0.00192156,0.47063089,0,132,4,FALSE, Coleridge_ST,120.1463415,historical_people,historical_people,132,0,9,0.77503852,FALSE,0, Coleridge_ST,631324,0.36887412
4428,2.57164869,3.38E-04,0.3888556,0,27,5,FALSE, coles,95.9047619,Past_Editors,Past_Editors,27,0,6,0.68567026,FALSE,0, coles,86428,0.33773937
15353,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Collins_little,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Collins_little,339418,0.38416554
7930,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Colman_the_Younger,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Colman_the_Younger,339418,0.38416554
8520,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Congreve_Wm,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Congreve_Wm,339418,0.38416554
20720,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Cook_Ch1,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Cook_Ch1,87698,0.18421414
11350,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Coriolanus_C,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0, Coriolanus_C,339418,0.38416554
6753,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Corneille,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Corneille,339418,0.38416554
4188,2.06625578,0.00674768,0.48396719,0,169,4,FALSE, Cosmo,108.3239437,fictional_and_archetypal,fictional_and_archetypal,169,0,17,0.78674884,FALSE,0, Cosmo,2043316,0.33227227
