  preface 1: div: head	MS::28:37:54: 8, 8, 0	28::MS:37:54: 8, 5, 8	37::MS:28:54: 8, 5, 8	54::MS:28:37: 0, 8, 8
  preface 1: div: p	MS::28:37:54: 356, 0, 0	28::MS:37:54: 356, 356, 356	37::MS:28:54: 0, 356, 0	54::MS:28:37: 0, 356, 0
  preface 1: div: p	MS::28:37:54: 1773, 0, 0	28::MS:37:54: 1773, 1773, 1773	37::MS:28:54: 0, 1773, 0	54::MS:28:37: 0, 1773, 0
  preface 2: div: p	MS::28:37:54: 404, 0, 0	28::MS:37:54: 404, 404, 404	37::MS:28:54: 0, 404, 0	54::MS:28:37: 0, 404, 0
  preface 3: div: p	MS::28:37:54: 0, 1609, 0	28::MS:37:54: 0, 1609, 0	37::MS:28:54: 1609, 1609, 1609	54::MS:28:37: 0, 0, 1609
  preface 3: div: p	MS::28:37:54: 0, 2654, 0	28::MS:37:54: 0, 2654, 0	37::MS:28:54: 2654, 2654, 2654	54::MS:28:37: 0, 0, 2654
  preface 3: div: l 	MS::28:37:54: 0, 13, 0	28::MS:37:54: 0, 13, 0	37::MS:28:54: 13, 13, 13	54::MS:28:37: 0, 0, 13
  preface 3: div: l 	MS::28:37:54: 0, 45, 0	28::MS:37:54: 0, 45, 0	37::MS:28:54: 45, 45, 45	54::MS:28:37: 0, 0, 45
  preface 3: div: l 	MS::28:37:54: 0, 30, 0	28::MS:37:54: 0, 30, 0	37::MS:28:54: 30, 30, 30	54::MS:28:37: 0, 0, 30
  preface 3: div: p	MS::28:37:54: 0, 924, 0	28::MS:37:54: 0, 924, 0	37::MS:28:54: 924, 924, 924	54::MS:28:37: 0, 0, 924
  preface 3: div: l 	MS::28:37:54: 0, 15, 0	28::MS:37:54: 0, 15, 0	37::MS:28:54: 15, 15, 15	54::MS:28:37: 0, 0, 15
  preface 3: div: l 	MS::28:37:54: 0, 42, 0	28::MS:37:54: 0, 42, 0	37::MS:28:54: 42, 42, 42	54::MS:28:37: 0, 0, 42
  preface 3: div: l 	MS::28:37:54: 0, 35, 0	28::MS:37:54: 0, 35, 0	37::MS:28:54: 35, 35, 35	54::MS:28:37: 0, 0, 35
  preface 3: div: l 	MS::28:37:54: 0, 19, 0	28::MS:37:54: 0, 19, 0	37::MS:28:54: 19, 19, 19	54::MS:28:37: 0, 0, 19
  preface 3: div: p	MS::28:37:54: 0, 447, 0	28::MS:37:54: 0, 447, 0	37::MS:28:54: 447, 447, 447	54::MS:28:37: 0, 0, 447
  preface 3: div: p	MS::28:37:54: 0, 87, 0	28::MS:37:54: 0, 87, 0	37::MS:28:54: 87, 87, 87	54::MS:28:37: 0, 0, 87
  preface 3: div: p	MS::28:37:54: 0, 54, 0	28::MS:37:54: 0, 54, 0	37::MS:28:54: 54, 54, 54	54::MS:28:37: 0, 0, 54
  preface 3: div: l 	MS::28:37:54: 0, 25, 0	28::MS:37:54: 0, 25, 0	37::MS:28:54: 25, 25, 25	54::MS:28:37: 0, 0, 25
  preface 3: div: p	MS::28:37:54: 0, 177, 0	28::MS:37:54: 0, 177, 0	37::MS:28:54: 177, 177, 177	54::MS:28:37: 0, 0, 177
  preface 3: div: p	MS::28:37:54: 0, 4, 0	28::MS:37:54: 0, 4, 0	37::MS:28:54: 4, 4, 4	54::MS:28:37: 0, 0, 4
  act 1: div: head	MS::28:37:54: 11, 11, 11	28::MS:37:54: 11, 0, 0	37::MS:28:54: 11, 0, 0	54::MS:28:37: 11, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 6, 6, 6	28::MS:37:54: 6, 0, 0	37::MS:28:54: 6, 0, 0	54::MS:28:37: 6, 0, 0
act 1 scene 1: div: stage	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
