	_notSI	no_SI_category		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Elliston_Robt	Robert William Elliston	histPersons		
Macready_Wm	William Macready	histPersons		
Procter_BW	Bryan Waller Procter	histPersons		
Rowden_Fr	Frances Arabella Rowden St. Quintin	histPersons		
Hofland_B	Barbara Hofland Wreaks	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Mitford_Geo	George Mitford	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Elliston_Robt	Robert William Elliston	histPersons		
Macready_Wm	William Macready	histPersons		
	_notSI	no_SI_category		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Haydon	Benjamin Robert Haydon	histPersons		
Long_tailed_wren	Long Tailed Wren	histPersons		
Haydon_Mrs	Mary Hyman	histPersons		
MRM	Mary Russell Mitford	histPersons		
	_notSI	no_SI_category		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Mitford_Geo	George Mitford	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Macready_Wm	William Macready	histPersons		
ChasI	Charles Stuart	histPersons		
Cromwell	Oliver Cromwell	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Cromwell_MRM	Oliver Cromwell	fictPersons		
Queen_Ch1	Queen Henrietta Maria	fictPersons		
Young_CM	Charles Mayne Young	histPersons		
Doge_F	Doge Foscari	fictPersons		
Kemble_C	Charles Kemble	histPersons		
MRM	Mary Russell Mitford	histPersons		
Foote_Maria	Maria Foote	histPersons		
Elford_Mr	Elford_Mr_notSI	no_SI_category		
Haydon	Benjamin Robert Haydon	histPersons		
Palmer_Mad	Madelina Palmer Gordon	histPersons		
Haydon	Benjamin Robert Haydon	histPersons		
Haydon_Mrs	Mary Hyman	histPersons		
Napoleon	Napoleon Bonaparte	histPersons		
Budd_EH	Budd_EH_notSI	no_SI_category		
Ward_William	Ward_William_notSI	no_SI_category		
Beauclerk_Frederick	Beauclerk_Frederick_notSI	no_SI_category		
MRM	Mary Russell Mitford	histPersons		
	_notSI	no_SI_category		
Beauclerk_Aubrey	Beauclerk_Aubrey_notSI	no_SI_category		
Chas_II	Chas_II_notSI	no_SI_category		
Gwyn_Eleanor	Gwyn_Eleanor_notSI	no_SI_category		
Beauclerk_Charles_I	Beauclerk_Charles_I_notSI	no_SI_category		
ChasII	Charles Stuart	histPersons		
Titian	Tiziano Vecelli	histPersons		
Rubens	Rubens_notSI	no_SI_category		
Rembrandt	Rembrandt_notSI	no_SI_category		
Hazlitt_Wm	William Hazlitt	histPersons		
Haydon_Mrs	Mary Hyman	histPersons		
Macready_Wm	William Macready	histPersons		
Haydon	Benjamin Robert Haydon	histPersons		
	_notSI	no_SI_category		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Macready_Wm	William Macready	histPersons		
Mitford_Geo	George Mitford	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Kemble_C	Charles Kemble	histPersons		
Fitzharris	Mr. Fitzharris	histPersons		
Elliston_Robt	Robert William Elliston	histPersons		
Macready_Wm	William Macready	histPersons		
Bayley_Mrs	Mrs. Bayley	histPersons		
Shakespeare	William Shakespeare	histPersons		
Kotzebue	August von Kotzebue	histPersons		
Othello_O	Othello	fictPersons		
Kean_Edmund	Edmund Kean	histPersons		
Desdemona_O	Desdemona	fictPersons		
Rienzi_Cola	Cola di Rienzi	fictPersons		
MRM	Mary Russell Mitford	histPersons		
Talfourd_Mrs	Rachel Talfourd Rutt	histPersons		
Macready_Wm	William Macready	histPersons		
Cobbett_Wm	Member of Parliament for Oldham	histPersons		
Plutarch	Plutarch	histPersons		
Cromwell_MRM	Oliver Cromwell	fictPersons		
Alice	Alice	fictPersons		
Chas1_MRM	Charles the First	fictPersons		
Fairfax	Lord Fairfax	fictPersons		
Knowles_Sheridan	James Sheridan Knowles	histPersons		
Kemble_C	Charles Kemble	histPersons		
Cantwell	Cantwell	fictPersons		
Foscari_son_hist	Jacopo Foscari	histPersons		
Doge_F_hist	Doge Foscari	histPersons		
	_notSI	no_SI_category		
Fitzharris	Mr. Fitzharris	histPersons		
Cosmo	Cosmo Donato	fictPersons		
Young_CM	Charles Mayne Young	histPersons		
Kemble_C	Charles Kemble	histPersons		
MRM	Mary Russell Mitford	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Fitzharris	Mr. Fitzharris	histPersons		
Chas1_MRM	Charles the First	fictPersons		
Young_CM	Charles Mayne Young	histPersons		
Cromwell_MRM	Oliver Cromwell	fictPersons		
Serle_TJ	Thomas James Serle	histPersons		
Warde_Mr	James Prescott Warde	histPersons		
Leon	Leon_stubEntry	fictPersons		
Bennett_GJ	George John Bennett	histPersons		
Vines_Mr	Mr. Vines	histPersons		
Bulley_F	Frederick Bulley	histPersons		
Valpy_Richard	Richard Valpy	histPersons		
Burgess	Mr. Burgess	histPersons		
Euripides	Euripides	histPersons		
Richardson_H	Henry Kemp Richardson	histPersons		
Robinson_H	Henry Robinson	histPersons		
	_notSI	no_SI_category		
Harness_Wm	William Harness	Past_Editors		
Lane_Wm	William Lane	histPersons		
Beaumont_Fr	Francis Beaumont	histPersons		
Fletcher_John	John Fletcher	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Macready_Wm	William Macready	histPersons		
	_notSI	no_SI_category		
MRM	Mary Russell Mitford	histPersons		
Harness_Wm	William Harness	Past_Editors		
Talfourd_Mrs	Rachel Talfourd Rutt	histPersons		
Rutt_John	John Towill  Rutt	histPersons		
Monck_JB	John Berkeley Monck	histPersons		
	_notSI	no_SI_category		
Newberry_Mr	Newberry_Mr_notSI	no_SI_category		
Macready_Wm	William Macready	histPersons		
Doge_F	Doge Foscari	fictPersons		
Cosmo	Cosmo Donato	fictPersons		
Camilla	Camilla Donato	fictPersons		
Byron	George Gordon Noel Byron	histPersons		
MRM	Mary Russell Mitford	histPersons		
	_notSI	no_SI_category		
Foscari_Fr	Francesco Foscari	fictPersons		
MRM	Mary Russell Mitford	histPersons		
Talfourd_Thos	Thomas Noon Talfourd	histPersons		
Monck_JB	John Berkeley Monck	histPersons		
Russell_M	Mary Mitford Russell	histPersons		
Elford_SirWm	Sir William Elford, F.R.S., F.L.S., M.P.	histPersons		
Edgeworth_Maria	Maria Edgeworth	histPersons		
Ormond_H	Ormond_H_notSI	no_SI_category		
Ellis_Hen	Ellis_Hen_notSI	no_SI_category		
McLeod_John	McLeod_John_notSI	no_SI_category		
Staunton_Geo	Staunton_Geo_notSI	no_SI_category		
Macartney_Geo	Macartney_Geo_notSI	no_SI_category		
Barrow_John	Barrow_John_notSI	no_SI_category		
	_notSI	no_SI_category		
Bruce_James	Bruce_James_notSI	no_SI_category		
Napoleon	Napoleon Bonaparte	histPersons		
Esther_Ozoro	Esther_Ozoro_notSI	no_SI_category		
Mariam_Tecla	Mariam_Tecla_notSI	no_SI_category		
Orlando	Orlando_notSI	no_SI_category		
Michael_Ras	Michael_Ras_notSI	no_SI_category		
Milton	John Milton	histPersons		
Satan	Satan	archPersons		
Shakespeare	William Shakespeare	histPersons		
Richard_Gloucester	Richard_Gloucester_notSI	no_SI_category		
Talma_Francois	Talma_Francois_notSI	no_SI_category		
Valpy_Penelope	Penelope Arabella Valpy French	histPersons		
James_Miss	Miss James	histPersons		
Dukinfield_Mr	 Dukinfield	histPersons		
Vane_hist	Henry Vane	histPersons		
Viola_TN	Viola	fictPersons		
Beatrice	Beatrice_notSI	no_SI_category		
Isabella	Isabella_notSI	no_SI_category		
Webb_Eliza	Eliza Elizabeth Webb	histPersons		
Miranda	Miranda_stubEntry	fictPersons		
Nerissa	Nerissa_notSI	no_SI_category		
Dogberry_MA	Dogberry	fictPersons		
Justice_Lord	Justice_Lord_notSI	no_SI_category		
Polonius	Polonius_notSI	no_SI_category		
Bardolph	Bardolph_notSI	no_SI_category		
Nym	Nym_notSI	no_SI_category		
Falstaff	Falstaff_notSI	no_SI_category		
Haydon	Benjamin Robert Haydon	histPersons		
Alexander_I	Alexander_I_notSI	no_SI_category		
Jesus	Jesus	histPersons		
Hofland_TC	Thomas Christopher Hofland	histPersons		
Lavater_Johann	Lavater_Johann_notSI	no_SI_category		
Raphael	Raphael	histPersons		
Lucy	Lucy_notSI	no_SI_category		
Mitford_Geo	George Mitford	histPersons		
MRM	Mary Russell Mitford	histPersons		
King_Corny	King_Corny_notSI	no_SI_category		
Mrs_M'Crule	Mrs_M'Crule_notSI	no_SI_category		
Miss_OFaley	Miss_OFaley_notSI	no_SI_category		
Sir_C_Grandison	Sir_C_Grandison_notSI	no_SI_category		
Lady_Annaly	Lady_Annaly_notSI	no_SI_category		
Miss_Annaly	Miss_Annaly_notSI	no_SI_category		
Fielding_Henry	Henry Fielding	histPersons		
Pickle_P	Pickle_P_notSI	no_SI_category		
Smollett_Tob	Tobias George Smollett	histPersons		
Sophy	Sophy_notSI	no_SI_category		
