"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","Node-1-Attributes","Node-2-Attributes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","2.26348228","0.00772283","0.44179714","0.0","138","4","false"," Elford_SirWm","51.41025641",,,"138","0","26","0.74730354","false","0"," Elford_SirWm","1145114","0.15606891"
"73","2.68875193","6.381E-5","0.37191977","0.0","9","5","false","Johnson_Mr","82.11111111","historical_people","historical_people","9","0","0","0.66224961","false","0","Johnson_Mr","14244","0.31808279"
"75","2.65485362","4.1781E-4","0.3766686","0.0","22","5","false","Jesus","68.2","historical_people","historical_people","22","0","2","0.66902928","false","0","Jesus","71732","0.26352941"
"77","1.78890601","0.053529","0.55900086","0.0","385","4","false","Mitford_Geo","75.50862069","historical_people","historical_people","385","0","53","0.8422188","false","0","Mitford_Geo","9129596","0.23067684"
"79","2.41756549","0.00103569","0.41363926","0.0","35","4","false","Wordsworth_Wm","77.82142857","historical_people","historical_people","35","0","5","0.7164869","false","0","Wordsworth_Wm","267494","0.23783724"
"81","2.63636364","5.4696E-4","0.37931034","0.0","27","5","false","Milton","69.69230769","historical_people","historical_people","27","0","1","0.67272727","false","0","Milton","154366","0.2693816"
"83","2.30970724","0.00631615","0.4329553","0.0","91","4","false","Scott_Wal","61.01587302","historical_people","historical_people","91","0","18","0.73805855","false","0","Scott_Wal","1245650","0.18580766"
"85","2.42372881","7.4247E-4","0.41258741","0.0","35","4","false","Wellington_Duke","77.57692308","historical_people","historical_people","35","0","7","0.71525424","false","0","Wellington_Duke","188816","0.23708026"
"87","2.36825886","0.00227646","0.42225114","0.0","56","4","false","Dickinson_Mrs","64.22727273","historical_people","historical_people","56","0","9","0.72634823","false","0","Dickinson_Mrs","522226","0.19575007"
"89","1.82280431","0.04906429","0.54860524","0.0","384","4","false","MRM","77.2027027","historical_people","historical_people","384","0","54","0.83543914","false","0","MRM","7916082","0.23665436"
"91","2.68875193","6.381E-5","0.37191977","0.0","9","5","false"," Johnson_Mr","82.11111111",,,"9","0","0","0.66224961","false","0"," Johnson_Mr","14244","0.31808279"
"92","2.26348228","0.00772283","0.44179714","0.0","138","4","false","Elford_SirWm","51.41025641","historical_people","historical_people","138","0","26","0.74730354","false","0","Elford_SirWm","1145114","0.15606891"
"102","2.65485362","4.1781E-4","0.3766686","0.0","22","5","false"," Jesus","68.2",,,"22","0","2","0.66902928","false","0"," Jesus","71732","0.26352941"
"112","1.78890601","0.053529","0.55900086","0.0","385","4","false"," Mitford_Geo","75.50862069",,,"385","0","53","0.8422188","false","0"," Mitford_Geo","9129596","0.23067684"
"122","2.41756549","0.00103569","0.41363926","0.0","35","4","false"," Wordsworth_Wm","77.82142857",,,"35","0","5","0.7164869","false","0"," Wordsworth_Wm","267494","0.23783724"
"132","2.63636364","5.4696E-4","0.37931034","0.0","27","5","false"," Milton","69.69230769",,,"27","0","1","0.67272727","false","0"," Milton","154366","0.2693816"
"142","2.30970724","0.00631615","0.4329553","0.0","91","4","false"," Scott_Wal","61.01587302",,,"91","0","18","0.73805855","false","0"," Scott_Wal","1245650","0.18580766"
"152","2.42372881","7.4247E-4","0.41258741","0.0","35","4","false"," Wellington_Duke","77.57692308",,,"35","0","7","0.71525424","false","0"," Wellington_Duke","188816","0.23708026"
"162","2.36825886","0.00227646","0.42225114","0.0","56","4","false"," Dickinson_Mrs","64.22727273",,,"56","0","9","0.72634823","false","0"," Dickinson_Mrs","522226","0.19575007"
"172","1.82280431","0.04906429","0.54860524","0.0","384","4","false"," MRM","77.2027027",,,"384","0","54","0.83543914","false","0"," MRM","7916082","0.23665436"
"183","2.6825886","6.767E-5","0.37277427","0.0","11","5","false","Webb_Eliza","101.45454545","historical_people","historical_people","11","0","0","0.66348228","false","0","Webb_Eliza","17364","0.39393939"
"186","2.49768875","9.2882E-4","0.40037014","0.0","37","4","false","Dickinson_Charles","63.60606061","historical_people","historical_people","37","0","4","0.70046225","false","0","Dickinson_Charles","210560","0.21440432"
"188","2.30046225","0.00564442","0.43469524","0.0","91","4","false","James_Miss","57.90909091","historical_people","historical_people","91","0","12","0.73990755","false","0","James_Miss","1091340","0.17618914"
